nume,judet,abreviere,populatie,lat,lng,,
Milcovatu,Giurgiu,GR,1537,44.2642463,25.7000813,Milcovatu,Milcovatu
Marsa,Giurgiu,GR,2742,44.365091,25.565693,Marsa,Marsa
Mihaibravu,Giurgiu,GR,2586,44.1386034,26.0567838,Mihaibravu,MihaiBravu
Ogrezeni,Giurgiu,GR,3949,44.4116847,25.7804779,Ogrezeni,Ogrezeni
Hobaia,Giurgiu,GR,957,44.3893455,25.7763197,Hobaia,Hobaia
Oinacu,Giurgiu,GR,1758,43.9448258,26.0408155,Oinacu,Oinacu
Branistea,Giurgiu,GR,1006,43.9664675,26.0369638,Branistea,Branistea
Comasca,Giurgiu,GR,593,43.9493607,26.0471747,Comasca,Comasca
Prundu,Giurgiu,GR,3549,44.0571215,26.2592475,Prundu,Prundu
Puieni,Giurgiu,GR,837,44.0767316,26.189514,Puieni,Puieni
Putineiu,Giurgiu,GR,1332,43.9311628,25.7360404,Putineiu,Putineiu
Hodivoaia,Giurgiu,GR,434,43.9015226,25.7934613,Hodivoaia,Hodivoaia
Vieru,Giurgiu,GR,720,43.8877956,25.8050427,Vieru,Vieru
Rasuceni,Giurgiu,GR,1404,44.0903888,25.6711532,Rasuceni,Rasuceni
Carapancea,Giurgiu,GR,99,44.1008559,25.71384,Carapancea,Carapancea
Cucuruzu,Giurgiu,GR,1031,44.076906,25.7272144,Cucuruzu,Cucuruzu
Satunou,Giurgiu,GR,118,44.0615596,25.6338692,Satunou,SatuNou
Roatadejos,Giurgiu,GR,2476,44.4065433,25.5359618,Roatadejos,RoatadeJos
Cartojani,Giurgiu,GR,3724,44.432022,25.4909035,Cartojani,Cartojani
Roatamica,Giurgiu,GR,545,44.4006702,25.5554069,Roatamica,RoataMica
Sadina,Giurgiu,GR,1551,44.4199086,25.5159621,Sadina,Sadina
Schitu,Giurgiu,GR,293,44.13394,25.8246026,Schitu,Schitu
Bila,Giurgiu,GR,512,44.1604294,25.8464138,Bila,Bila
Camineasca,Giurgiu,GR,608,44.166472,25.8214416,Camineasca,Camineasca
Vlasin,Giurgiu,GR,572,44.0992085,25.862156,Vlasin,Vlasin
Singureni,Giurgiu,GR,1546,44.2229167,25.941849,Singureni,Singureni
